"","FIPS","SVI","Est_Hest","Party","NHW","mean_mobility","sum_deaths"
"232",8031,0.42,0.0658,0.813936208630047,0.5417,0.704128663605255,0.00117985013978061
"233",8033,0.15,0.0736,0.238461538461538,0.8977,0.695264289996121,0.00048661800486618
"234",8035,0.01,0.0591,0.46322419585434,0.8223,0.744595841765089,0.000692004077982879
"235",8037,0.14,0.0652,0.652668539325843,0.672,0.770116624849569,0.000435358354345421
"236",8039,0,0.0681,0.242479883350435,0.8852,0.791913969589236,0.000523775674361181
"237",8041,0.39,0.0784,0.443954941346441,0.691,0.73705569936036,0.0012187622761149
"238",8043,0.65,0.0847,0.296110262798361,0.7909,0.716004051259834,0.00133782060661803
"239",8045,0.35,0.0832,0.511776804670913,0.6814,0.789152945646812,0.000815837232147317
"240",8047,0,0.0494,0.548076923076923,0.8529,0.708611422571057,0.000480538202787122
"241",8049,0.1,0.0652,0.490983008443657,0.8729,0.777350535994238,0.000444896402694801
"242",8051,0.14,0.0736,0.656298886537223,0.8694,0.703685341006616,0.000400870461573703
"243",8053,0.06,0.0736,0.419407894736842,0.8996,0.781626016260163,0
"244",8055,0.6,0.0847,0.485160084131807,0.6113,0.755713031430735,0.00246483978541395
"245",8057,0.11,0.0652,0.204439252336449,0.8216,0.744767720306513,0
"246",8059,0.06,0.0648,0.59538784067086,0.7812,0.731883429388639,0.00138107092185197
"247",8061,0.32,0.0945,0.109742441209406,0.9167,0.797267245006311,0.00213371266002845
"248",8063,0.52,0.0945,0.173935890698896,0.7696,0.727633350555008,0.00154995068338735
"249",8065,0.45,0.0847,0.606052631578947,0.6384,0.663611008572249,0
"250",8067,0.11,0.0736,0.59078232368247,0.7855,0.776927794493989,0.000764838761316946
"251",8069,0.12,0.0684,0.579571616982754,0.8259,0.747977085877525,0.00069487446028148
"252",8071,0.84,0.0796,0.449428094075312,0.5289,0.720423158233375,0.000896180890665931
"253",8073,0.49,0.0945,0.18042226487524,0.6711,0.772715313102964,0.000701631292755657
"254",8075,0.63,0.0945,0.215235322658903,0.762,0.749325667762457,0.00307911999643001
"255",8077,0.58,0.0869,0.356621056202646,0.8138,0.748480856473071,0.0016535892613968
"256",8079,0.03,0.0796,0.426075268817204,0.8641,0.81800633940182,0.00130039011703511
"257",8081,0.55,0.0832,0.175032736796159,0.8032,0.733273315097828,0.00180682074832493
"258",8083,0.49,0.0736,0.385418042530709,0.7243,0.752572704087045,0.000993010732154451
"259",8085,0.72,0.0768,0.314306742445925,0.7605,0.750477520188483,0.00156695823003882
"260",8087,0.74,0.0945,0.287771920706808,0.5819,0.738322610562667,0.00326819870648135
"261",8089,0.96,0.0796,0.385108428586689,0.5312,0.729943325833737,0.00350147718568771
"262",8091,0.02,0.0768,0.599949264332826,0.957,0.824333041644229,0.000605815831987076
"263",8093,0,0.0847,0.41222465108458,0.8895,0.746976799033047,0.000265322366675511
"264",8095,0.3,0.0945,0.198854337152209,0.7408,0.715592028135991,0.00304806565064478
"265",8097,0.07,0.0652,0.763786218030419,0.8533,0.767964797408429,0.000225136488996454
"266",8099,0.94,0.0796,0.266739846322722,0.5889,0.754030196808705,0.00180742688136707
"267",8101,0.87,0.0766,0.50883474379243,0.5206,0.73672715436384,0.00248776896404313
"268",8103,0.34,0.0832,0.154886802871342,0.8465,0.686292079555837,0.000790638836179633
"269",8105,0.96,0.0796,0.40536149471974,0.5207,0.74373169432857,0.00150883109967161
"270",8107,0.06,0.0832,0.641061367904525,0.8972,0.778155712785068,0.000819096653405102
"271",8109,0.81,0.0796,0.571428571428571,0.5859,0.735622639051713,0.000732708089097304
"272",8111,0.13,0.0736,0.628676470588235,0.8879,0.638583638583639,0
"273",8113,0.03,0.0768,0.775494071146245,0.8584,0.764703984458844,0.000122264335493337
"274",8115,0.69,0.0945,0.211673699015471,0.8445,0.776628608145512,0.00133451957295374
"275",8117,0.07,0.0652,0.703559293711357,0.8213,0.752854378229908,0.000257972977330625
"276",8119,0.07,0.0824,0.319510866275198,0.8875,0.731418933704462,0.000708996376240744
"277",8121,0.28,0.0945,0.124493927125506,0.8694,0.79058566512723,0.00264873675631622
"278",8123,0.4,0.0759,0.407262414845412,0.656,0.796545884407898,0.00109093598609519
"279",8125,0.56,0.0945,0.160466067048242,0.7471,0.821996539907509,0.00179658648567721
"280",10001,0.73,0.0664,0.520704526595061,0.6159,0.786547373273691,0.00191386501167126
